sampleID	run	forwardReads	reverseReads
S11B	run_01	data/raw/S11B_R1.fastq.gz	data/raw/S11B_R2.fastq.gz
S1B	run_01	data/raw/S1B_R1.fastq.gz	data/raw/S1B_R2.fastq.gz
S2B	run_01	data/raw/S2B_R1.fastq.gz	data/raw/S2B_R2.fastq.gz
S2S	run_01	data/raw/S2S_R1.fastq.gz	data/raw/S2S_R2.fastq.gz
S3B	run_01	data/raw/S3B_R1.fastq.gz	data/raw/S3B_R2.fastq.gz
S3S	run_01	data/raw/S3S_R1.fastq.gz	data/raw/S3S_R2.fastq.gz
S4B	run_01	data/raw/S4B_R1.fastq.gz	data/raw/S4B_R2.fastq.gz
S4S	run_01	data/raw/S4S_R1.fastq.gz	data/raw/S4S_R2.fastq.gz
S5B	run_01	data/raw/S5B_R1.fastq.gz	data/raw/S5B_R2.fastq.gz
S5S	run_01	data/raw/S5S_R1.fastq.gz	data/raw/S5S_R2.fastq.gz
S6B	run_01	data/raw/S6B_R1.fastq.gz	data/raw/S6B_R2.fastq.gz
S6S	run_01	data/raw/S6S_R1.fastq.gz	data/raw/S6S_R2.fastq.gz
S7B	run_01	data/raw/S7B_R1.fastq.gz	data/raw/S7B_R2.fastq.gz
S7S	run_01	data/raw/S7S_R1.fastq.gz	data/raw/S7S_R2.fastq.gz
S8B	run_01	data/raw/S8B_R1.fastq.gz	data/raw/S8B_R2.fastq.gz
S8S	run_01	data/raw/S8S_R1.fastq.gz	data/raw/S8S_R2.fastq.gz
S9B	run_01	data/raw/S9B_R1.fastq.gz	data/raw/S9B_R2.fastq.gz
S9S	run_01	data/raw/S9S_R1.fastq.gz	data/raw/S9S_R2.fastq.gz
